category,merchant_count,avg_rating,avg_bd_score,avg_branches,pct_tier1,pct_positive
Entertainment,914,4.3,61.68,8.13,2.41,78.12
Retail - Perfumes,241,4.38,49.83,1.69,0.0,71.37
